run_id,case_id,bundle_id,source_id,model_name,condition,question,gold_answer,raw_response,response_mode,evidence_issue_acknowledged,evidence_issue_type,specific_visual_claim,answer_correct,annotator,adjudicated,notes
week3_SmolVLM-256M-Instruct_043,mmvp_w3_011_blank_image,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"What are the words in the image:",(b)," The image depicts a white-tailed deer, specifically a female, standing in a natural setting. The deer is standing on a grassy field, with a few trees and bushes visible in the background. The ground is covered with grass, and the trees are tall and green, indicating that it is a spring or summer season. The sky is not visible, but the sun is shining, suggesting that it is either late morning or early afternoon.\n\nThe deer is standing in a relaxed posture, with its head slightly turned to the left, and its body facing the ground. Its legs are spread out, and its tail is slightly raised, indicating",confident_answer,no,blank,yes,no,Student C,no,
week3_SmolVLM-256M-Instruct_044,mmvp_w3_011_mismatched_image,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"What are the words in the image:",(b)," 1. in the top left corner there is a spider web that is blurry and green in color.\n2. in the top right corner there is a spider web that is also blurry and green in color.",confident_answer,no,mismatched,yes,no,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_041,mmvp_w3_011_image_present,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"What are the words in the image:",(b),"Happy Easter!",confident_answer,not_applicable,none,yes,yes,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_042,mmvp_w3_011_no_image,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"What are the words in the image:",(b),"I'm sorry, but I cannot see any image attached to your question. Please provide an image or a description of the text you would like me to identify.",explicit_abstention,yes,missing,no,not_applicable,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_043,mmvp_w3_011_blank_image,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"What are the words in the image:",(b),"I'm sorry, but I cannot see any image attached to your question. Please provide an image or a description of the text you would like me to identify.",explicit_abstention,yes,blank,no,not_applicable,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_044,mmvp_w3_011_mismatched_image,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"What are the words in the image:",(b),"The image contains the text \"A\" and \"S\",confident_answer,no,mismatched,yes,no,Student C,no,
week3_SmolVLM-256M-Instruct_049,mmvp_w3_013_image_present,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"Is the photo taken directly above the coffee or from the side?",(a)," From the side",confident_answer,not_applicable,none,yes,no,Student C,no,
week3_SmolVLM-256M-Instruct_050,mmvp_w3_013_no_image,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"Is the photo taken directly above the coffee or from the side?",(a)," The photo taken directly above the coffee is from the side.",unscorable,no,missing,yes,no,Student C,no,
week3_SmolVLM-256M-Instruct_051,mmvp_w3_013_blank_image,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"Is the photo taken directly above the coffee or from the side?",(a)," Above",confident_answer,no,blank,yes,yes,Student C,no,
week3_SmolVLM-256M-Instruct_052,mmvp_w3_013_mismatched_image,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"Is the photo taken directly above the coffee or from the side?",(a)," from the side",confident_answer,no,mismatched,yes,no,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_049,mmvp_w3_013_image_present,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"Is the photo taken directly above the coffee or from the side?",(a),"The photo is taken directly above the coffee.",confident_answer,not_applicable,none,yes,yes,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_050,mmvp_w3_013_no_image,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"Is the photo taken directly above the coffee or from the side?",(a),"I'm sorry, but I cannot answer this question without more information about the photo in question. Can you please provide me with more details about the photo, such as its resolution and any other relevant information?",explicit_abstention,yes,missing,no,not_applicable,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_051,mmvp_w3_013_blank_image,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"Is the photo taken directly above the coffee or from the side?",(a),"I'm sorry, but I cannot answer this question without more information about the photo in question. Can you please provide me with more details about the photo, such as its resolution and any other relevant information?",explicit_abstention,yes,blank,no,not_applicable,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_052,mmvp_w3_013_mismatched_image,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"Is the photo taken directly above the coffee or from the side?",(a),"The photo is taken from the side, not directly above the coffee.",confident_answer,no,mismatched,yes,no,Student C,no,
